name	GCNF	CDX2	GATA6	PBX1	KLF4	NANOG	OCT4	Oct4Sox2	SOX2
210	210	0.034782	0.001348	0.000303	124.570185	39.423856	1.205927	336.958708	68.659622	51.613230
211	211	61.278624	97.328404	1.825265	2.025399	0.000499	0.000031	0.001454	0.028874	0.351019
212	212	0.018629	0.001653	0.000042	155.132806	188.346054	7.036837	130.272612	100.099225	83.517869
213	213	0.008171	0.000156	0.001130	367.875044	5.252776	1.156590	12.421788	0.202921	0.996354
214	214	35.198987	144.201964	2.021427	61.205865	0.001166	0.000035	0.001538	0.083458	3.714652
215	215	228.693254	72.994204	2.697646	0.162771	0.000347	0.000000	0.005186	0.001470	3.656524
216	216	0.011870	0.000063	0.001916	276.375707	120.434924	2.802291	180.161883	59.392341	36.314857
217	217	41.942414	416.703093	0.010590	0.137842	0.000393	0.000305	0.005601	0.014487	0.369259
218	218	0.489426	63.464372	0.006588	0.934967	0.021217	0.000035	0.043177	0.036300	33.006792
219	219	0.064570	0.006990	0.001305	116.727607	32.485680	0.810404	213.983389	38.167982	139.597859
220	220	2.389941	105.545335	0.042284	4.564785	0.000550	0.000056	0.070587	0.007071	0.575692
221	221	35.428390	91.966976	2.150627	1.064336	0.076371	0.000183	0.000086	0.025872	0.924525
222	222	0.048794	0.000837	0.000227	49.455738	185.688415	2.983649	282.633370	112.941900	126.821101
223	223	0.023666	0.001941	0.000498	191.785256	58.095036	2.761929	162.958636	196.997567	116.622391
224	224	0.384380	0.001204	0.002429	53.220642	59.379375	50.963943	116.235988	91.271529	101.562148
225	225	155.996949	152.376963	36.392796	5.894845	0.013927	0.000004	0.041717	0.027569	0.528275
226	226	0.031033	0.001723	0.000308	67.877381	104.054316	2.418613	205.220778	199.923326	105.535312
227	227	0.279654	0.072741	26.267263	19.685576	1.300127	0.032773	99.724564	46.466562	61.225850
228	228	0.313887	117.621175	0.028511	0.796358	0.002045	0.001150	0.039379	0.227593	0.201226
229	229	254.575717	671.074441	5.824568	6.575885	0.003319	0.000000	0.015455	0.901633	24.459941
230	230	0.041107	0.019271	0.000645	9.761284	121.862632	0.183970	224.929332	146.636963	285.185338
231	231	0.110196	0.000979	0.004167	17.199599	207.626963	0.266613	282.346708	135.583518	181.045060
232	232	195.592738	72.292246	2.556753	2.075628	0.000346	0.000003	0.000124	0.008877	0.321111
233	233	119.093346	604.931091	0.114357	0.850804	0.000358	0.000190	0.001242	0.045867	0.857861
234	234	19.965620	178.035854	1.761413	1.059982	0.000558	0.000015	0.004478	0.008026	0.295887
235	235	287.114424	432.982528	2.584455	1.743802	0.000616	0.000029	0.004683	0.001850	2.086351
236	236	70.727384	282.086341	11.028533	3.504853	0.000144	0.000005	0.080574	0.029088	2.316762
237	237	9.604570	95.348478	0.088718	4.420471	0.047487	0.000003	0.085251	0.134834	0.705248
238	238	66.117854	462.487961	10.288780	21.932099	0.000468	0.000012	0.000356	0.022755	0.483281
239	239	146.814637	187.736193	0.008931	1.153358	0.001777	0.000358	0.000080	0.455862	12.554338
240	240	56.552700	173.135169	9.306637	1.024018	0.013200	0.000002	0.002572	0.249060	0.067742
241	241	62.817168	43.737808	6.768828	2.081322	0.000620	0.000005	0.002624	0.019823	0.577118
242	242	0.011707	0.000160	0.006930	446.356307	24.554780	5.509220	100.764594	130.166916	534.849433
