Name	Cdx2	Oct4	Oct4-Sox2	Sox2
1_378_1	-1.300292	1.174471	0.747540	0.732829
1_379_1	1.049861	-1.366699	-2.015074	-1.095378
1_380_1	0.442996	-1.075939	-1.915429	-0.598359
1_381_1	0.790313	-1.444947	-1.032303	-1.028715
1_382_1	-0.432364	0.197605	-0.846695	-1.528629
1_383_1	1.120535	-2.082755	-0.292794	-0.172085
1_384_1	0.939459	-1.151493	-0.978253	-1.030473
1_385_1	-1.295124	1.292861	1.076982	1.131642
1_386_1	1.125065	-1.277495	-1.249400	-0.264278
1_387_1	0.984569	-0.902156	-0.798423	-2.357248
1_388_1	0.906088	-2.266079	-0.510500	-1.553932
1_389_1	1.215556	-2.012262	-0.712885	-0.492720
1_390_1	0.923296	-1.688782	-1.790483	-1.621020
1_391_1	0.864303	-1.461531	-1.848588	-1.427213
1_392_1	1.012829	-1.265321	-1.752539	-1.498456
1_393_1	-0.738364	0.891760	1.319641	1.210055
1_394_1	0.087669	1.377578	0.465808	-0.243160
1_395_1	-0.653185	0.611753	-0.259829	-2.374275
1_396_1	1.329215	-0.646855	-1.362440	-1.788334
1_397_1	1.080059	-1.391448	-0.998433	-0.698108
1_398_1	1.233100	-2.063260	-0.831077	-0.403447
1_399_1	-0.637483	0.628062	-0.612876	-1.197150
1_400_1	-1.831625	0.880618	0.558664	0.506443
1_401_1	0.564423	-1.698094	-0.436048	-0.727142
1_402_1	-0.583799	-0.284040	-1.236565	-0.611811
1_403_1	1.060087	-1.040459	-0.602399	-0.580729
1_404_1	0.512432	-1.537430	-1.587854	-1.421130
1_405_1	0.969186	-1.130769	-0.966147	0.046327
1_406_1	1.026161	-0.824308	-1.397145	-1.027491
1_407_1	0.947602	-1.008321	-2.142395	-2.035002
1_408_1	-1.616864	0.747691	1.271838	1.650656
1_409_1	-1.439622	0.778789	0.646488	0.805819
1_410_1	1.214732	-0.221800	-1.186601	-0.585601
1_411_1	-1.754236	1.005943	0.977037	0.754555
1_412_1	1.100365	-1.873055	-1.977633	-1.197379
1_413_1	1.320422	-0.358435	-1.357876	-1.828234
1_414_1	1.080313	-0.648762	-1.203797	-1.261947
1_415_1	-1.206249	1.139947	0.619821	0.134480
1_416_1	0.891250	-1.323265	-1.291560	-1.178900
1_417_1	1.025272	-0.571435	-0.663984	-0.672994
1_418_1	1.193580	-0.299768	-1.364785	-1.977112
1_419_1	1.300256	-1.593290	-1.368218	-1.144544
1_420_1	-1.502353	1.145069	1.522382	0.874768
1_421_1	0.920840	-1.063824	-0.786738	-1.641843
1_422_1	1.283799	-0.889994	-0.637358	-0.710601
1_423_1	0.949779	-0.624937	-1.537121	-1.957017
1_424_1	0.952420	-1.355656	-1.851555	-0.384052
1_425_1	1.050679	-0.219898	-1.579506	-1.268527
1_426_1	1.221266	-2.057817	-2.395259	-2.223423
1_427_1	-1.118030	1.270724	0.969670	1.349377
1_428_1	1.269039	-0.461883	-0.464859	-0.760336
1_429_1	-0.820283	1.197534	1.360042	1.456580
1_430_1	1.182932	-0.952991	-1.046531	-0.699060
1_431_1	0.893297	-1.183733	-1.929247	-0.717737
1_432_1	0.935823	-1.728056	-1.478083	-1.182623
1_433_1	1.045749	-1.428649	-1.106079	-1.579313
1_434_1	-0.457674	1.265890	1.354019	0.840573
1_435_1	-1.054230	1.034082	1.391701	1.467871
1_436_1	-1.216343	0.871363	1.411635	0.787648
1_437_1	1.346999	-0.562357	-0.430609	-0.617500
1_438_1	0.859865	-1.732787	-0.855957	-0.192631
1_439_1	1.098862	-0.025979	-1.257431	-0.787397
1_440_1	0.796440	-1.294156	-1.215317	-1.497044
1_441_1	0.990344	-1.550773	-0.942530	-2.826460
1_442_1	-1.301088	0.713896	1.524449	1.109814
1_443_1	1.003929	-1.630438	-0.991683	-0.529489
1_444_1	0.980362	-2.563372	-1.033957	-0.963488
1_445_1	-1.699147	1.303374	1.082014	1.244390
1_446_1	1.086374	-1.205540	-1.922865	-1.719587
1_447_1	-1.626461	1.240835	1.052309	1.085088
1_448_1	-1.786413	1.532742	0.865668	0.232153
1_449_1	0.748047	-0.806678	-0.874149	-1.717371
1_450_1	1.252760	-0.742381	-1.936307	-0.945499
1_451_1	0.986101	-1.459802	-0.756080	-1.374428
1_452_1	-0.940670	0.953902	1.008357	0.836789
1_453_1	-2.246544	0.993728	0.980462	0.696601
1_454_1	1.124855	-1.763910	-1.518375	-1.424160
1_455_1	0.909289	-1.091273	-0.874793	-0.554194
1_456_1	-1.419809	0.945630	1.154806	0.897878
1_457_1	1.205457	-0.555957	-1.406205	-1.639185
1_458_1	0.546821	-0.686043	-1.411648	-1.480040
1_459_1	-1.344514	1.286193	1.280327	1.227860
1_460_1	1.038115	-2.260947	-1.995131	-0.301857
1_461_1	-1.281504	1.301732	0.938996	1.373819
1_462_1	1.084076	-0.368420	-0.406260	-0.951394
1_463_1	0.794920	-1.705645	-1.537486	-1.362707
1_464_1	0.765396	-1.308244	-0.513283	-0.021855
1_465_1	1.107081	-1.143926	-1.631305	-1.363933
1_466_1	0.962351	-0.581328	-1.820333	-0.130887
1_467_1	1.009078	-1.859743	-1.431200	-1.536124
1_468_1	1.330060	-1.728608	-1.877949	-0.501739
1_469_1	-1.665971	1.032673	1.532522	1.454790
1_470_1	1.332154	-0.737687	-1.980361	-0.753237
1_471_1	0.922590	-0.906213	-1.316602	-1.725346
1_472_1	-1.143854	1.380383	1.590551	0.792066
1_473_1	0.978209	-1.331318	-1.467514	-0.808864
1_474_1	-1.230086	0.471478	-0.314466	-1.587507
1_475_1	1.035540	-0.641412	-1.194103	-1.744718
1_476_1	-2.271596	0.981796	0.676560	0.013268
1_477_1	0.488846	-1.149499	-2.678553	-1.144550
1_478_1	0.970760	-1.898669	-1.310105	-2.531704
1_479_1	0.699861	-1.335662	-1.386738	-0.717898
1_480_1	1.058520	-1.752940	-0.915356	-1.012977
1_481_1	0.579226	-0.643569	-1.066186	-2.356437
1_482_1	1.072897	-1.590533	-1.686449	-2.070464
1_483_1	0.932673	-0.429471	-1.455701	-1.304911
1_484_1	1.012077	-1.166321	-1.529960	-1.534678
1_485_1	0.611218	-0.262300	-1.102735	-1.150882
1_486_1	0.904512	-0.816602	-1.580304	-1.538400
1_487_1	-0.961293	0.242048	-1.793484	-1.008407
1_488_1	1.290000	-0.284431	-1.500280	-0.165265
1_489_1	0.950749	-2.162296	-0.967492	-1.146696
