Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_171_1	-0.104425	1.093158	-0.763792	-1.082573	-0.541711
1_172_1	-0.275086	-0.508123	-0.465463	-1.264174	-0.705829
1_173_1	1.505296	0.806493	-0.692381	-1.143484	-0.874086
1_174_1	0.633329	-0.490337	0.702259	-0.452666	-0.400518
1_175_1	0.778656	1.154552	-1.033662	-0.884876	-1.765207
1_176_1	-1.394231	-0.246611	0.938935	1.280547	1.315055
1_177_1	-0.930255	-0.890990	1.651656	1.212608	1.227599
1_178_1	0.472815	1.474122	-1.910422	-0.956726	-1.625346
1_179_1	0.334324	-0.781033	-0.966453	-1.063818	-1.003296
1_180_1	-1.725730	-0.590702	0.522803	1.493780	1.157928
1_181_1	0.743680	-0.772655	0.123067	-0.976273	-0.564179
1_182_1	0.705287	0.987747	-0.465596	-1.281138	-1.362949
1_183_1	1.102648	0.501085	-1.448944	-0.740522	-0.412662
1_184_1	0.545400	-0.171054	-1.474579	-0.434061	-0.742424
1_185_1	-1.176990	-0.691859	0.862875	1.016105	1.849351
1_186_1	0.393325	-1.483489	-0.584256	-1.431710	-0.061533
1_187_1	-0.110626	0.106642	0.618905	-0.289627	-0.404993
1_188_1	1.383742	1.103118	-1.803550	-0.885956	-1.151385
1_189_1	-1.278394	-2.143218	1.232351	0.796598	1.048565
1_190_1	-1.842085	-0.868493	1.482864	1.255937	1.028036
1_191_1	0.805346	-0.448729	-1.053276	-1.422898	-0.508693
1_192_1	-1.264023	-1.264555	0.859631	1.298498	1.003847
1_193_1	-0.588000	-2.212818	0.803112	1.057123	1.855270
1_194_1	-1.208866	-1.040552	0.996975	1.357188	1.631025
1_195_1	1.618411	0.949800	-0.510011	-1.446694	-0.678100
1_196_1	-0.053712	-0.507803	-0.754013	-1.225538	-0.090785
1_197_1	1.144810	0.255393	-1.783930	-1.347718	-0.584147
1_198_1	0.218446	0.346529	-0.528879	-1.358062	-0.957954
1_199_1	1.283446	-0.710706	-0.061392	-0.498333	-1.311310
1_200_1	1.106669	0.937375	-0.914720	-1.470759	-1.267943
1_201_1	0.572621	-0.679769	-1.321019	-1.299955	-0.605863
1_202_1	0.960371	1.662910	-0.469890	-1.069258	-1.038488
1_203_1	0.224332	-0.388838	0.219214	-1.174652	0.204125
1_204_1	1.227205	0.957432	-1.236402	-1.104441	-1.866852
1_205_1	1.191923	1.185803	-2.066138	-1.198012	-2.098139
1_206_1	1.547979	0.523308	-0.592323	-1.136333	-0.531110
1_207_1	-1.249471	-1.814143	0.413795	1.231589	0.924589
1_208_1	-2.493177	-0.880580	0.095320	1.492337	1.110100
1_209_1	1.008322	1.075220	-0.488047	-1.044462	-1.204923
1_210_1	-1.363137	-1.679853	1.219004	1.088134	1.155571
1_211_1	1.153928	0.643157	-0.674381	-1.383806	-0.849065
1_212_1	-1.573398	-2.207982	1.319859	1.430922	1.490538
1_213_1	-1.850962	-1.328714	1.716758	0.646339	1.147639
1_214_1	0.967217	0.670405	0.892358	-1.197724	-0.825943
1_215_1	1.597440	0.747436	-1.833264	-1.463259	-1.739286
1_216_1	-1.725182	-1.187791	1.585303	1.332908	1.315693
1_217_1	1.026247	-0.731433	-1.909675	-1.436265	-0.417178
1_218_1	-0.472664	-0.858158	-1.029703	-0.561749	-0.828628
1_219_1	-1.154792	-1.290334	1.189114	1.045706	1.080092
1_220_1	0.061386	-0.361868	-0.300859	-1.362340	-0.739039
1_221_1	0.969405	0.686943	-0.970133	-0.281019	-0.513842
1_222_1	-1.249135	-1.756938	0.794375	1.427807	1.327602
1_223_1	-1.492806	-1.547345	1.417351	1.173115	1.312938
1_224_1	-0.554028	-1.124442	0.828099	1.177908	1.866533
