id	Gcnf	Cdx2	Gata6	Pbx1	Klf4	Nanog	Oct4	Oct4-Sox2	Sox2
169	1.064632	0.900698	0.526997	-2.143192	-0.883705	-1.111460	-0.857484	-1.298221	-1.570383
170	-0.102461	-0.525265	1.095661	-0.762428	-1.087861	-0.547011	-0.118377	-1.407925	-0.719332
171	-0.273424	1.079863	-0.506329	-0.465225	-1.269142	-0.711363	-0.928888	-1.113037	-0.387020
172	1.510101	0.983861	0.808869	-0.691287	-1.148665	-0.879859	-1.471071	-1.527446	-0.895065
173	0.636594	1.035497	-0.488535	0.698088	-0.459063	-0.405618	-1.048737	-0.300930	0.494795
174	0.782178	1.426847	1.157082	-1.031279	-0.890512	-1.772246	-1.237413	-0.847452	-0.577708
175	-1.394544	-2.215885	-0.244701	0.933870	1.271095	1.312392	1.425041	0.721083	0.070044
176	-0.929749	-1.534221	-0.889365	1.643900	1.203275	1.224812	1.021503	1.049067	1.049486
177	0.475797	1.048868	1.476794	-1.904729	-0.962235	-1.632186	-0.184218	-0.765778	-0.813653
178	0.337062	0.925174	-0.779359	-0.964324	-1.069139	-1.009252	-0.457456	-1.205000	0.046219
179	-1.726628	-2.568013	-0.588945	0.519309	1.483952	1.155042	1.013320	0.556355	1.443958
180	0.747141	0.945262	-0.770978	0.121083	-0.981748	-0.569512	-0.503532	-1.810169	-1.720329
181	0.708680	0.599129	0.990203	-0.465358	-1.286076	-1.369416	-0.428198	-1.506556	-0.976274
182	1.106742	1.187603	0.503326	-1.444993	-0.746412	-0.417779	-1.446468	-2.531544	-1.864727
183	0.548511	0.798192	-0.169111	-1.470531	-0.440491	-0.748010	-0.678577	-1.195919	-1.223343
184	-1.176920	-1.390402	-0.690147	0.858097	1.007119	1.847447	0.914498	1.113497	1.446649
185	0.396167	1.351984	-1.482127	-0.583570	-1.436382	-0.066151	-0.702069	-1.547963	-2.731957
186	-0.108674	1.143769	0.108708	0.615049	-0.296312	-0.410099	0.003454	0.030569	-1.627115
187	1.388332	0.911711	1.105625	-1.798261	-0.891590	-1.157552	-1.260679	-1.573287	-1.238642
188	-1.278503	-1.424164	-2.142148	1.226179	0.787999	1.045524	0.793571	0.598829	-0.493306
189	-1.843188	-1.450744	-0.866859	1.475745	1.246528	1.024965	1.106899	0.990195	0.986751
190	0.808915	0.726314	-0.446909	-1.050819	-1.427586	-0.513947	-2.012312	-1.331169	-1.346859
191	-1.264106	-1.435794	-1.263096	0.854865	1.289015	1.000742	0.959034	1.402841	1.344308
192	-0.586890	-1.169011	-2.211779	0.798559	1.048064	1.853374	1.354315	0.963939	0.922498
193	-1.208852	-2.041607	-1.038994	0.991691	1.347601	1.628812	0.821569	0.827228	1.564865
194	1.623415	0.914364	0.952239	-0.509606	-1.451339	-0.683594	-1.518625	-1.530466	-2.289925
195	-0.051659	1.134013	-0.506008	-0.752685	-1.230574	-0.095445	-0.750024	-2.051531	-1.217019
196	1.148978	1.109218	0.257525	-1.778715	-1.352539	-0.589508	-1.768451	-1.541349	-1.480029
197	0.220979	0.753954	0.348701	-0.528402	-1.362864	-0.963845	-0.984328	-1.288657	0.044119
198	1.287859	1.221881	-0.709002	-0.062680	-0.504651	-1.317704	-1.184591	-1.430507	-0.889400
199	1.110770	1.308726	0.939809	-0.912786	-1.475362	-1.274275	-1.194993	-2.053559	-0.453806
200	0.575779	1.041236	-0.678051	-1.317551	-1.304859	-0.611255	-0.257385	-0.564022	-1.932200
201	0.964214	1.129510	1.665665	-0.469636	-1.074569	-1.044494	-1.116941	-1.556578	-0.750240
202	0.226875	0.880197	-0.386991	0.216866	-1.179778	0.199884	-0.758415	-1.177716	-2.421131
203	1.231518	1.023864	0.959875	-1.233254	-1.109690	-1.874035	-2.450469	-0.742038	-0.611050
204	1.196174	1.048828	1.188347	-2.059857	-1.203097	-2.105650	-0.782922	-0.819852	-0.756775
205	1.552859	0.956149	0.525559	-0.591606	-1.141526	-0.536395	-1.870962	-1.575687	-1.803835
206	-1.249528	-1.584049	-1.812927	0.410713	1.222223	0.921372	1.321230	1.416167	1.468208
207	-2.495429	-0.961036	-0.878951	0.093440	1.482512	1.107146	1.061839	0.777804	0.794108
208	1.012249	1.106655	1.077715	-0.487724	-1.049817	-1.211165	-0.741406	-1.389082	-1.000751
209	-1.363395	-1.302878	-1.678578	1.212882	1.079021	1.152682	1.362590	0.956170	0.616783
210	1.158113	0.985828	0.645461	-0.673355	-1.388563	-0.854802	-1.460236	-1.313882	-1.611096
211	-1.574028	-1.261118	-2.206940	1.313356	1.421205	1.488125	1.145434	1.066257	0.831631
212	-1.852081	-1.744403	-1.327283	1.708756	0.638004	1.144738	0.608406	-0.744509	-1.145376
213	0.971072	1.066252	0.672721	0.887469	-1.202809	-0.831647	-1.447462	-1.003949	-0.557933
214	1.602407	0.926969	0.749786	-1.827862	-1.467876	-1.746288	-1.169657	-2.183375	-0.564974
215	-1.726080	-1.930999	-1.186298	1.577798	1.323364	1.313031	1.219522	0.913830	0.459849
216	1.030206	1.283341	-0.729738	-1.903985	-1.440930	-0.422302	-1.152049	-1.515275	-1.588482
217	-0.471351	0.898349	-0.856519	-1.027335	-0.567955	-0.834336	-0.685369	-1.247049	0.417211
218	-1.154683	-0.966106	-1.288886	1.183105	1.036667	1.077095	1.258835	0.784714	1.060953
219	0.063642	1.002409	-0.360009	-0.301243	-1.367135	-0.744620	-0.573050	-1.724725	-1.390244
220	0.973264	0.974237	0.689266	-0.967990	-0.287720	-0.519103	-2.105927	-1.345946	-1.178778
221	-1.249192	-1.400373	-1.755697	0.789856	1.418096	1.324957	1.322417	1.101505	1.018103
222	-1.493293	-1.228260	-1.546011	1.410479	1.163852	1.310272	1.196589	1.263954	0.980678
223	-0.552858	-1.325858	-1.122921	0.823453	1.168636	1.864654	1.119383	1.039298	0.918953
224	1.473349	1.077533	1.444654	-0.184149	-0.660062	-1.266484	-0.693229	-1.327394	-1.428616
225	-1.401872	-1.252638	-1.674536	0.934846	1.291376	1.285030	1.249280	1.268259	0.936084
226	-0.660168	-0.486910	1.357582	0.368020	0.332495	0.467043	1.084374	0.842162	0.693026
227	-0.621208	1.024571	-0.465258	-1.100814	-1.079807	-0.170053	-0.706406	-0.711004	-1.859481
228	1.638578	1.380823	0.955338	-0.134084	-0.973883	-1.687192	-0.920130	-0.309012	0.283433
229	-1.307026	-0.758654	-1.476890	0.046803	1.325942	0.795119	1.270234	1.177745	1.379854
230	-0.974354	-1.368236	-0.978848	0.306200	1.442530	0.865677	1.322185	1.154859	1.177010
231	1.549661	0.924992	0.735461	-0.662137	-1.468621	-1.295133	-2.022570	-1.658287	-1.650850
232	1.382284	1.359595	-0.094316	-1.070530	-1.461236	-0.512683	-1.496172	-1.178741	-1.212186
233	0.779784	1.109371	0.635951	-0.969867	-1.364097	-1.000464	-1.203203	-1.687730	-1.687371
234	1.679158	1.291181	0.738339	-0.741905	-1.342404	-0.869298	-1.192975	-2.116236	-0.815451
235	1.206491	1.203523	1.125824	-0.422237	-1.660894	-1.191046	-0.542810	-1.311732	-0.768688
236	0.532908	0.981624	-0.162110	-0.315954	-0.391682	-1.281595	-0.529919	-0.863873	-1.299634
237	1.183755	1.304668	1.107282	0.417505	-1.402472	-1.038877	-1.782068	-1.383432	-1.468354
238	1.452883	1.120224	-0.775249	-0.931206	-1.110533	-0.391729	-2.123487	-0.508166	-0.014307
239	1.131036	1.103661	1.080490	-0.985674	-0.671803	-1.403409	-1.329891	-0.684683	-2.345497
240	1.166478	0.822191	0.995460	-0.660882	-1.340963	-1.199128	-1.325355	-1.423712	-1.389140
241	-1.730753	-1.738597	-0.843003	1.797307	0.975427	1.441584	1.086745	1.142954	1.660575
242	-0.153256	-1.131003	-2.182269	0.566809	1.215265	0.915193	1.484306	1.674347	1.401203
243	-2.490820	-1.318642	-1.386818	0.920336	1.326886	1.690744	1.341213	1.315773	1.777612
244	-1.208605	-1.810002	-1.801082	0.616414	0.962320	0.943036	1.034418	0.702630	0.467931
245	0.941035	1.074805	0.546187	-0.785930	-1.201945	-0.789370	-1.237710	-1.159180	-1.709237
246	1.344716	1.026155	0.752123	0.223246	-0.941075	-0.937839	-1.104602	-0.551878	0.024255
247	-0.166647	1.391407	-0.835492	0.154140	-1.109228	-0.329620	-0.940903	-1.533834	-1.629661
248	-0.189384	1.043723	-0.678231	-0.356107	-1.141866	-0.315622	-1.079175	-1.239327	-1.354027
249	1.158557	0.922111	0.674873	0.904548	-0.898594	-0.425428	-1.878677	-1.131436	-1.368377
