Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
sox2_down_s2,2.1016,0.8503638170021034,0.8556004571625283,0.8679567233575937,0.8707779812183455,0.8742355314367594,0.8790771448211864,8601.653619526329,8280.787055911664,8717.08479593271,8385.420454602707
sox2_down_s3,2.0597,0.8026565613332316,0.8074599182395865,0.8374492864601804,0.8476115652585058,0.8385348608299669,0.842153775845637,8656.631915983475,8310.790253571644,8784.789516632716,8425.705233609338
sox2_down_s4,2.0357,0.7749450091365686,0.7799519123463946,0.8217137883295191,0.8249497132535094,0.816384095696863,0.8204991688981123,8698.003685049092,8340.826843396215,8834.839389682453,8462.411984356664
sox2_down_s5,2.0165,0.7543667124052675,0.7604895718599674,0.7960854140597704,0.8017743395817876,0.800605847048283,0.8069570604493612,8712.365826347595,8344.115868203913,8854.367021370632,8469.503624926681
gata6_down_s6,2.3564,1.131275472799607,1.1019405284951747,1.0968871575170864,1.0749759883699375,1.095325114831974,1.072545573436336,9985.253962438344,9652.918149929408,9889.531589067112,9544.517294696823
gata6_down_s7,2.3516,1.1283363557158244,1.099598270346025,1.0966676280386487,1.0728451607577063,1.0933255354145508,1.070687960903654,10018.690123242508,9664.868028235347,9921.846794565085,9552.373497131359
gata6_down_s8,2.3489,1.1251659757080277,1.097725325174063,1.090226891142325,1.0685811103737657,1.0906236204362942,1.0693018373795338,10042.760009062978,9683.88240451132,9947.345472889456,9572.596344102181
gata6_down_s9,2.3476,1.1219480549871412,1.0960383606787325,1.0864958740363115,1.0660719057753325,1.0884066926583214,1.0677342249014365,10065.906152747739,9695.13580499706,9970.956970440538,9580.1867251038
gata6_down_s10,2.3438,1.1201299398214704,1.0940532288519957,0.41989413206351645,1.0654063437359695,1.0873373180747323,1.0665568258829767,10076.952255471891,9703.461949361787,9982.627127450281,9588.327066758884
gcnf_down_s6,2.7636,1.2221564732806969,1.2020250045302299,1.1991251474487443,1.180447458467654,1.2001489746201641,1.1828378874648893,10105.971159397286,9681.577060512362,10015.337753103706,9596.858975025903
gcnf_down_s7,2.7637,1.2202346102654391,1.2022840628516653,1.2019788020393194,1.185327571041858,1.1983043253895098,1.1832244103517284,10136.781706824218,9678.657194559726,10047.753928946591,9598.44174291213
gcnf_down_s8,2.763,1.2191710036292445,1.2025681818907055,1.19478550589408,1.183363950492891,1.1969682916858395,1.1832860691585898,10153.57220705014,9673.521795220026,10064.463725792857,9594.69385251688
gcnf_down_s9,2.7627,1.2183260700615834,1.2027024000407358,1.1949938176592763,1.1836288273138964,1.1961172898404029,1.1832559066008153,10172.744465997503,9671.186390319164,10086.726431189694,9595.93371140055
gcnf_down_s10,2.7633,1.2167552352070279,1.2030559476448373,1.1911745072055973,1.1800082006595842,1.1945291882343536,1.1835352449404468,10197.104663831815,9669.470787270115,10111.55205218178,9596.956969081308
cdx2_down_s6,2.1321,1.1016772198516382,1.0953089283068607,1.0675870318877183,1.065991291927228,1.0632022569408743,1.0626158387868296,7747.400381183691,7976.350146141241,7700.4384769762955,7909.930344452543
