NODE165X	GENE17763X	GENE11064X	0.997445	2
NODE166X	GENE15148X	GENE2332X	0.997444	51
NODE167X	GENE9855X	GENE1379X	0.997444	2
NODE168X	GENE15323X	GENE12339X	0.997437	2
NODE169X	GENE12904X	GENE10411X	0.997436	2
NODE170X	NODE36X	GENE1545X	0.997420	2
NODE171X	GENE23974X	GENE22090X	0.997419	6
NODE172X	GENE12999X	GENE6471X	0.997415	2
NODE173X	GENE4674X	GENE1646X	0.997410	2
NODE174X	GENE18962X	GENE3659X	0.997405	53
NODE175X	GENE16679X	GENE10484X	0.997403	4
NODE176X	NODE19X	GENE2505X	0.997399	2
NODE177X	GENE4979X	GENE2265X	0.997397	2
NODE178X	GENE11153X	GENE9445X	0.997397	53
NODE179X	GENE22752X	GENE11588X	0.997388	53
NODE180X	GENE24027X	GENE22072X	0.997374	2
NODE181X	GENE4123X	GENE3218X	0.997371	2
NODE182X	GENE22300X	GENE21520X	0.997368	51
NODE183X	GENE18697X	GENE1432X	0.997367	51
NODE184X	GENE20119X	GENE5685X	0.997354	2
NODE185X	GENE13484X	GENE6136X	0.997352	17
NODE186X	GENE20922X	GENE5389X	0.997350	2
NODE187X	GENE23150X	GENE14992X	0.997343	2
NODE188X	GENE20973X	GENE19869X	0.997341	6
NODE189X	GENE18515X	GENE10676X	0.997338	2
NODE190X	GENE21753X	GENE11321X	0.997326	53
NODE191X	GENE26543X	GENE2788X	0.997319	2
NODE192X	GENE16744X	GENE3213X	0.997312	2
NODE193X	GENE24581X	GENE5154X	0.997305	2
NODE194X	GENE16062X	GENE4799X	0.997301	2
NODE195X	GENE23158X	GENE15378X	0.997301	51
NODE196X	GENE16659X	GENE14126X	0.997299	19
NODE197X	GENE22019X	GENE19160X	0.997297	5
NODE198X	GENE19466X	GENE6932X	0.997295	2
NODE199X	GENE15051X	GENE3617X	0.997291	2
NODE200X	GENE5505X	GENE1891X	0.997291	51
NODE201X	GENE24317X	GENE18587X	0.997290	2
NODE202X	GENE19688X	GENE16830X	0.997281	2
NODE203X	GENE25493X	GENE15867X	0.997264	53
NODE204X	GENE9593X	GENE1088X	0.997254	51
NODE205X	GENE25592X	GENE25223X	0.997250	53
NODE206X	GENE14507X	GENE7100X	0.997249	2
NODE207X	GENE7911X	GENE6302X	0.997249	31
NODE208X	GENE8493X	GENE7025X	0.997246	2
NODE209X	GENE14314X	GENE13676X	0.997242	2
NODE210X	GENE12637X	GENE11957X	0.997240	2
NODE211X	GENE16462X	GENE2775X	0.997233	2
NODE212X	GENE18148X	GENE13592X	0.997232	2
NODE213X	GENE18742X	GENE17775X	0.997226	36
NODE214X	GENE21810X	GENE2947X	0.997221	51
NODE215X	GENE24987X	GENE5494X	0.997217	2
NODE216X	GENE21150X	GENE1264X	0.997213	2
NODE217X	GENE8464X	GENE324X	0.997212	2
NODE218X	GENE20247X	GENE16038X	0.997212	2
NODE219X	GENE17621X	GENE17003X	0.997211	53
NODE220X	GENE2128X	GENE620X	0.997210	2
NODE221X	GENE16489X	GENE15530X	0.997203	2
NODE222X	GENE14496X	GENE1143X	0.997199	2
NODE223X	GENE8387X	GENE5247X	0.997187	2
NODE224X	GENE23758X	GENE17107X	0.997177	2
NODE225X	GENE23305X	GENE8828X	0.997173	4
NODE226X	GENE26258X	GENE14574X	0.997166	53
NODE227X	GENE13225X	GENE13189X	0.997164	2
NODE228X	GENE19372X	GENE16855X	0.997157	2
NODE229X	NODE45X	GENE1520X	0.997151	2
NODE230X	GENE13801X	GENE3398X	0.997149	2
NODE231X	GENE16121X	GENE13341X	0.997144	5
NODE232X	GENE16913X	GENE16680X	0.997144	2
NODE233X	GENE20051X	GENE17774X	0.997143	2
NODE234X	GENE22451X	GENE12264X	0.997143	2
NODE235X	GENE21059X	GENE20259X	0.997137	19
NODE236X	GENE25200X	GENE24349X	0.997137	2
NODE237X	GENE14471X	NODE117X	0.997135	2
NODE238X	GENE25419X	GENE16245X	0.997129	2
NODE239X	GENE25538X	GENE12512X	0.997128	2
NODE240X	GENE6759X	GENE1557X	0.997122	2
NODE241X	GENE20583X	GENE19249X	0.997120	51
NODE242X	GENE22570X	GENE21037X	0.997116	4
NODE243X	GENE22319X	GENE9609X	0.997107	2
NODE244X	GENE25370X	GENE8528X	0.997106	21
NODE245X	GENE6823X	GENE4075X	0.997101	53
NODE246X	GENE23741X	GENE12494X	0.997101	6
NODE247X	GENE10424X	GENE1941X	0.997098	2
NODE248X	GENE16650X	GENE7569X	0.997096	2
NODE249X	GENE21916X	GENE17355X	0.997094	2
NODE250X	GENE25850X	GENE8658X	0.997085	2
NODE251X	GENE13744X	GENE5158X	0.997083	2
NODE252X	GENE20803X	GENE20210X	0.997083	2
NODE253X	GENE21704X	GENE8441X	0.997083	2
NODE254X	GENE14238X	GENE283X	0.997079	53
NODE255X	GENE26655X	GENE18820X	0.997078	2
NODE256X	GENE22342X	GENE18973X	0.997077	4
NODE257X	GENE9759X	GENE2024X	0.997075	53
NODE258X	GENE14445X	GENE8449X	0.997073	2
NODE259X	GENE12606X	GENE4918X	0.997070	2
NODE260X	GENE12052X	GENE4811X	0.997051	2
NODE261X	GENE26648X	GENE3927X	0.997047	2
NODE262X	GENE18834X	GENE6800X	0.997046	2
NODE263X	GENE9132X	GENE1022X	0.997045	53
NODE264X	GENE23871X	GENE18033X	0.997044	53
NODE265X	GENE14173X	GENE2284X	0.997040	51
NODE266X	GENE26292X	GENE15511X	0.997038	2
NODE267X	GENE26375X	GENE3726X	0.997025	2
NODE268X	GENE14403X	GENE12491X	0.997022	2
NODE269X	GENE25487X	NODE72X	0.997022	2
NODE270X	GENE22578X	GENE22313X	0.997018	2
NODE271X	GENE25645X	GENE24207X	0.997011	53
NODE272X	GENE12575X	GENE1610X	0.997009	53
NODE273X	GENE18604X	GENE5018X	0.997008	2
NODE274X	GENE13148X	GENE3474X	0.997008	2
NODE275X	GENE16970X	GENE6147X	0.997007	2
NODE276X	GENE14919X	NODE147X	0.997003	2
NODE277X	GENE25364X	GENE15635X	0.997001	5
NODE278X	GENE21282X	GENE12802X	0.996999	53
NODE279X	GENE12393X	GENE9554X	0.996997	2
NODE280X	GENE23234X	GENE2629X	0.996993	2
NODE281X	GENE24224X	NODE62X	0.996991	2
NODE282X	GENE14166X	GENE8178X	0.996987	2
NODE283X	GENE5442X	GENE225X	0.996986	2
NODE284X	GENE23632X	GENE3982X	0.996986	2
NODE285X	GENE7049X	GENE55X	0.996985	2
NODE286X	GENE15493X	NODE59X	0.996984	51
NODE287X	GENE25396X	GENE23243X	0.996982	2
NODE288X	GENE14047X	GENE973X	0.996975	2
NODE289X	GENE25128X	GENE12647X	0.996973	2
NODE290X	GENE25865X	GENE3216X	0.996972	53
NODE291X	GENE16217X	GENE12560X	0.996972	21
NODE292X	GENE14747X	NODE42X	0.996971	2
NODE293X	GENE13539X	GENE12409X	0.996970	2
NODE294X	GENE5927X	GENE3945X	0.996965	53
